RIGOL TECHNOLOGIES,DP821A,DP8E165350191,00.01.13
Date, Time, voltage 1,current 1,power 1,voltage 2,current 2,power 2
2023-07-28, 10:40:30, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:32, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:33, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:34, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:35, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:36, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:37, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:38, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:39, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:40, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:42, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:43, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:44, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:45, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:46, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:47, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:48, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:49, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:50, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:51, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:52, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:54, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:55, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:56, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:57, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:58, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:40:59, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:00, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:01, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:02, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:03, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:05, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:06, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:07, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:08, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:09, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:10, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:11, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:12, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:13, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:15, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:16, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:17, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:18, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:19, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:20, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:21, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:22, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:23, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:24, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:26, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:27, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:28, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:29, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:30, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:31, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:32, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:33, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:34, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:35, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:37, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:38, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:39, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:40, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:41, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:42, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
